trigger code,timestamp,CH00,CH01
00000002,1337,50F0,84C3
00000002,1337,51AA,CCE3
00000002,1337,5264,868D
00000002,1337,512B,83CA
00000002,1337,51F5,8557
00000002,1337,51B9,866A
00000002,1337,4C41,900D
00000002,1337,51BE,83E3
00000002,1337,5132,874A
00000002,1337,50AF,862B
00000002,1337,50D9,E5E3
00000002,1337,4BCC,B8AF
00000002,1337,50AD,A430
00000002,1337,5183,8601
00000002,1337,5240,CD2A
00000002,1337,521F,85CF
00000002,1337,50AF,8647
00000002,1337,50CD,ABD4
00000002,1337,5121,866A
00000002,1337,516F,864C
00000002,1337,4BDF,8115
00000002,1337,5165,9955
00000002,1337,51E6,8431
00000002,1337,51D5,832C
00000002,1337,5043,8328
00000002,1337,517C,8727
00000002,1337,51F9,8945
00000002,1337,5224,852B
00000002,1337,51D3,9DA6
00000002,1337,5159,BF38
00000002,1337,5152,83B4
00000002,1337,51B2,88F9
00000002,1337,4E3B,A8A6
00000002,1337,5097,A3C2
00000002,1337,4FF8,871B
00000002,1337,518F,D5F2
00000002,1337,4C8F,DE71
00000002,1337,51CE,87C7
00000002,1337,51B4,D96A
00000002,1337,50E1,853C
00000002,1337,50EA,8410
00000002,1337,51D3,84BA
00000002,1337,5214,8867
00000002,1337,5219,895B
00000002,1337,516B,95C1
00000002,1337,50FA,055D
00000002,1337,51CC,86C1
00000002,1337,4D53,8417
00000002,1337,50AE,85C4
00000002,1337,51C8,86BF
00000002,1337,4EEB,8363
00000002,1337,5085,88CC
00000002,1337,524F,DCDC
00000002,1337,5097,8761
00000002,1337,513F,AD57
00000002,1337,51F5,8648
00000002,1337,5128,F027
00000002,1337,50E0,8763
00000002,1337,5187,95F8
00000002,1337,522D,8759
00000002,1337,5229,842B
00000002,1337,5136,86DA
00000002,1337,51DA,8819
00000002,1337,50FA,2FA9
00000002,1337,5137,85D9
00000002,1337,51AA,873C
00000002,1337,4C45,99DD
00000002,1337,510D,D007
00000002,1337,51BB,AF9A
00000002,1337,520D,83CF
00000002,1337,50EA,84DA
00000002,1337,51C3,89B3
00000002,1337,5106,83B5
00000002,1337,504B,84E2
00000002,1337,5126,8653
00000002,1337,507E,82D9
00000002,1337,50E2,87A2
00000002,1337,4E71,E713
00000002,1337,50B9,888C
00000002,1337,4FD1,8402
00000002,1337,51A4,8603
00000002,1337,5113,83D4
00000002,1337,4F7A,F3E6
00000002,1337,4FDA,9248
00000002,1337,47F4,7F32
00000002,1337,5138,845A
00000002,1337,4C97,85BD
00000002,1337,514B,8694
00000002,1337,51E8,8487
00000002,1337,50D4,E46A
00000002,1337,4B5E,936E
00000002,1337,5154,834C
00000002,1337,503A,8284
00000002,1337,5200,019F
00000002,1337,5181,A670
00000002,1337,4E36,DFC6
00000002,1337,4E05,877E
00000002,1337,521C,8CE3
00000002,1337,50C0,EBFB
00000002,1337,5012,9332
00000002,1337,506B,EF05
00000002,1337,5132,871D
00000002,1337,50C2,8402
00000002,1337,511B,829C
00000002,1337,50F6,883F
00000002,1337,512B,9A4F
00000002,1337,5238,8964
00000002,1337,510F,8849
00000002,1337,5157,A53B
00000002,1337,520F,B889
00000002,1337,5120,82E6
00000002,1337,5146,8770
00000002,1337,503F,A7F5
00000002,1337,514A,832E
00000002,1337,4BC2,8CAF
00000002,1337,4FE9,8330
00000002,1337,513F,8448
00000002,1337,5250,F72E
00000002,1337,4EFB,81D4
00000002,1337,5192,86E8
00000002,1337,51E4,8431
00000002,1337,5152,859A
00000002,1337,4C20,979C
00000002,1337,4E35,81F0
00000002,1337,5153,8560
00000002,1337,4F78,81DA
00000002,1337,5166,9BB9
00000002,1337,516F,F49D
00000002,1337,51E1,B677
00000002,1337,5106,FAD6
00000002,1337,51B0,1A11
00000002,1337,510F,DFF5
00000002,1337,502C,866E
00000002,1337,51AF,894D
00000002,1337,5119,AC8E
00000002,1337,50EB,F86F
00000002,1337,516B,8622
00000002,1337,4F79,83F8
00000002,1337,51C3,85B0
00000002,1337,5077,8547
00000002,1337,51DF,87A2
00000002,1337,4EA8,8492
00000002,1337,511B,8790
00000002,1337,4C68,DB17
00000002,1337,4CB5,979A
00000002,1337,5227,8433
00000002,1337,4A13,A967
00000002,1337,5157,86F5
00000002,1337,51CE,88AF
00000002,1337,50AF,F894
00000002,1337,50AF,8322
00000002,1337,50AD,D8EA
