trigger_code,timestamp,en_CH0,en_CH1,en_CH2,en_CH3,en_CH4,en_CH5,en_CH6,en_CH7,en_CH8,en_CH9,en_CH10,en_CH11,en_CH12,en_CH13,en_CH14,en_CH15,en_CH16,en_CH17,en_CH18,en_CH19,en_CH20,en_CH21,en_CH22,en_CH23,en_CH24,en_CH25,en_CH26,en_CH27,en_CH28,en_CH29,en_CH30,en_CH31
00400000,A351,0365,D98A,EE71,C658,E1FD,FDD0,DD3B,FF1F,F6A0,D6D1,F6BD,03C1,FB6E,FCB3,0313,DF28,F5DE,F408,D971,D616,DC37,CB1B,F3BC,6B0C,0000,0000,0000,0000,0000,0000,0000,0000
00400000,4C00,02FD,E0BD,E123,BC96,E078,FD81,CEF7,FBFF,F6CB,D120,EE8A,02CF,F728,F637,FE56,D7E1,F6BB,F0F3,D82B,D1B4,E1AC,CE97,F35D,5592,0000,0000,0000,0000,0000,0000,0000,0000
00800000,6BC6,0001,DE6F,EB65,C0A1,E404,FAD5,DB2B,F6D3,FE56,D496,F3A4,04DC,FE00,FBDC,FFAC,DB5E,F214,F2E7,DA81,D64D,E413,C72E,C9BE,EB6C,0000,0000,0000,0000,0000,0000,0000,0000
00400000,0C5C,0285,E4F3,F138,CB85,E38A,03FA,E051,FFD5,FB41,CE9E,EBAD,0B92,F7B4,FBAE,FD55,D782,EC31,EBA5,D23E,CE2A,DB17,C41B,EA1B,823E,0000,0000,0000,0000,0000,0000,0000,0000
00400000,649B,FEDB,E648,EB4C,CBC1,EE08,F9AE,D846,F946,FC47,D957,F4E9,0DF8,FADD,FDDE,0569,DFBA,F202,F10E,DAE7,CFD6,D7CF,CF58,F0C4,B777,0000,0000,0000,0000,0000,0000,0000,0000
00400000,9FAB,FBCD,DF3B,E73C,C302,E14C,F804,D6BA,F939,FC13,D2BC,ECA7,0770,F686,F3FC,FF8E,D492,F87E,F443,DB78,DBBA,E2DF,CF36,F766,368A,0000,0000,0000,0000,0000,0000,0000,0000
00400000,2509,FC4D,DF71,E857,C97E,E6F1,F5C0,D8AC,0144,F90E,D4BA,E9B6,06A9,F706,FB7E,FA57,D84E,FC17,F5C6,DCA5,D194,CE88,D22F,0C00,7244,0000,0000,0000,0000,0000,0000,0000,0000
00400000,8929,008C,E3C0,EFC0,CC16,E7F2,0192,DC63,00EE,FD68,D86F,EFB8,0AD3,FD45,FA84,FFE1,D610,FBA6,FC94,D82F,DE38,E6C7,D181,FB6F,A5BD,0000,0000,0000,0000,0000,0000,0000,0000
00400000,CAB1,0089,DE9B,ED81,C837,E0B5,FB07,D51B,FE24,F89F,D66F,E914,0610,F7E3,F84F,07E7,DAE2,ECE0,ED42,D8B7,CD8A,D733,C90A,EE48,4077,0000,0000,0000,0000,0000,0000,0000,0000
00800000,1B68,FE7B,DF3B,E931,C507,E792,FABD,DA0C,0477,F7B2,D67B,E694,06A0,F851,FBCF,0262,D799,F019,F5E5,D51A,D635,DF26,CD4D,D4BD,ED59,0000,0000,0000,0000,0000,0000,0000,0000
