trigger_code,timestamp,en_CH0,en_CH1,en_CH2,en_CH3,en_CH4,en_CH5,en_CH6,en_CH7,en_CH8,en_CH9,en_CH10,en_CH11,en_CH12,en_CH13,en_CH14,en_CH15,en_CH16,en_CH17,en_CH18,en_CH19,en_CH20,en_CH21,en_CH22,en_CH23,en_CH24,en_CH25,en_CH26,en_CH27,en_CH28,en_CH29,en_CH30,en_CH31
00800000,5F84,2F0A,2B51,2D5B,26FB,2ADB,31F9,2972,30F0,2FC8,27CC,2E1F,337B,2DD5,3143,31A3,290D,3295,3084,29A4,2923,2D19,28CD,80B8,303F,0000,0000,0000,0000,0000,0000,0000,0000
00800000,4928,311A,2C46,3005,2A07,2D30,323D,2A3F,31BE,3098,28DE,2E5D,338D,2E71,310B,3253,29EE,3198,2F72,2912,28CF,2C36,270F,6BB6,2F5A,0000,0000,0000,0000,0000,0000,0000,0000
00800000,25D1,30A7,2C12,2DA6,27D8,2B1F,31BA,2BB8,31F6,3011,29C9,2FF5,3454,2DF8,3126,326C,29FB,325D,31BC,299B,29F2,2EC6,284E,8099,2EFC,0000,0000,0000,0000,0000,0000,0000,0000
00800000,CB46,30FA,2CE5,2FE0,287D,2C4C,322C,2B28,31DE,3044,2ABA,2E7D,33EA,2FA4,3181,32E3,294C,327E,32B1,2B66,2B2C,2E7B,2910,417E,30C8,0000,0000,0000,0000,0000,0000,0000,0000
00800000,E9A9,30EA,2DF4,2F4F,2813,2B78,31F3,2BBA,31FA,3038,2A19,303F,349D,2DEF,3192,3236,29D9,32E5,31F3,2B50,2A37,2D74,292E,6BC9,30B1,0000,0000,0000,0000,0000,0000,0000,0000
00800000,5551,300D,2B65,2D51,2819,2B35,30BE,2B37,31C4,2EB0,2AC1,2F03,335E,2EFC,2FC2,3105,28B2,30AC,30B4,2969,2A3B,2E28,27DC,573E,2F76,0000,0000,0000,0000,0000,0000,0000,0000
00800000,DE7D,3055,2C65,2E4E,28D4,29E4,3218,2B31,3152,2F74,29AF,2F56,342D,2D62,2FD7,30BA,28A4,3195,30C9,29DD,29CC,2DE0,2886,1F79,2E35,0000,0000,0000,0000,0000,0000,0000,0000
00800000,9E21,3064,2C01,2E0E,2738,2AE8,32A2,2981,318C,2F8E,287D,2F8B,338F,2D1C,303F,3064,2A7A,32A6,3255,294B,2AB2,2E3B,296A,80E8,31AF,0000,0000,0000,0000,0000,0000,0000,0000
00800000,9DDA,3136,2E58,2F81,2743,2C43,329F,2BEA,321F,3206,2A96,3058,35AE,2F4D,3226,31D4,2AA6,3131,31BD,2AE1,296E,2CCF,2921,50A5,3017,0000,0000,0000,0000,0000,0000,0000,0000
00800000,C334,304A,2CD1,2F53,27EC,2BE2,318B,2AA8,32CE,3070,2AB0,2FB4,33C6,2E59,3297,327D,2A28,319E,3309,2A36,2A0D,2CE6,28B1,B61C,30D5,0000,0000,0000,0000,0000,0000,0000,0000
